,Sources,Authentication Service operational,Authentication Service degraded,Authentication Service unresponsive,Availability Item Filter operational,Availability Item Filter degraded,Availability Item Filter unresponsive,Bid and Buy Service operational,Bid and Buy Service degraded,Bid and Buy Service unresponsive,Buy Now Item Filter operational,Buy Now Item Filter degraded,Buy Now Item Filter unresponsive,Category Item Filter operational,Category Item Filter degraded,Category Item Filter unresponsive,Comment Item Filter operational,Comment Item Filter degraded,Comment Item Filter unresponsive,Future Sales Item Filter operational,Future Sales Item Filter degraded,Future Sales Item Filter unresponsive,Inventory Service operational,Inventory Service degraded,Inventory Service unresponsive,Item Management Service operational,Item Management Service degraded,Item Management Service unresponsive,Last Second Sales Item Filter operational,Last Second Sales Item Filter degraded,Last Second Sales Item Filter unresponsive,Past Sales Item Filter operational,Past Sales Item Filter degraded,Past Sales Item Filter unresponsive,Persistence Service operational,Persistence Service degraded,Persistence Service unresponsive,Query Service operational,Query Service degraded,Query Service unresponsive,Recommendation Item Filter operational,Recommendation Item Filter degraded,Recommendation Item Filter unresponsive,Region Item Filter operational,Region Item Filter degraded,Region Item Filter unresponsive,Reputation Service operational,Reputation Service degraded,Reputation Service unresponsive,Seller Reputation Item Filter operational,Seller Reputation Item Filter degraded,Seller Reputation Item Filter unresponsive,User Management Service operational,User Management Service degraded,User Management Service unresponsive,Supervisory Component operational,Supervisory Component degraded,Supervisory Component unresponsive
47,Reputation Service unresponsive,0.1341540318388653,0.0,1.8539573712431565e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2729446795855845,0.0,2.7832648704068697e-06,1.8557317053704266e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2918074324838425,0.0,0.30108736313776074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Seller Reputation Item Filter operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3345963915714784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333168761302373,0.3320719208154978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Seller Reputation Item Filter degraded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24651515351827746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2538852326558844,0.2416669626709904,0.2579326511548478,0.0,0.0,0.0,0.0,0.0,0.0
50,Seller Reputation Item Filter unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24182998806275766,0.0,0.24498357745816737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26371961099579516,0.0,0.24946682348327995,0.0,0.0,0.0,0.0,0.0,0.0
51,User Management Service operational,0.2015358475915782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19805988814220302,0.0,0.0,0.20070875861230553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1977925029317201,0.20190300272219314,0.0,0.0,0.0,0.0
52,User Management Service degraded,0.0,0.16012380527187162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1660476972649545,0.0,0.0,0.153394876509377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17843219539187422,0.17551181263107676,0.166489612930846,0.0,0.0,0.0
53,User Management Service unresponsive,1.5357136495855702e-06,0.0,0.17512682843714028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1565059701877529,0.0,7.671223849795018e-07,2.2964096861988426e-06,0.0,0.17002971118675042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2254965754326768,0.0,0.27283631550995885,0.0,0.0,0.0
54,Supervisory Component operational,0.12487060957008499,0.0,0.0,0.0,0.0,0.0,0.12448709261073405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1244995030991929,0.0,0.0,0.12541635547272809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12534623686242768,0.0,0.0,0.0,0.0,0.0,0.12457583319153756,0.0,0.0,0.1258853872111569,0.12491898198213783,0.0
55,Supervisory Component degraded,0.0,0.11867787396034848,0.0,0.0,0.0,0.0,0.0,0.12657278624334753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12248014621589023,0.0,0.0,0.1325987070756052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12856069129321757,0.0,0.0,0.0,0.0,0.0,0.11548475094780249,0.0,0.12812380410639998,0.12750124015738842,0.1289855840461416
56,Supervisory Component unresponsive,0.085321463788648,0.0,0.07460084800142934,0.0,0.0,0.0,0.06532426581576217,0.0,0.07444234750174453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07634104986954916,0.0,0.0832902907118872,0.07763865890958736,0.0,0.08013753260748643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09380880466446082,0.0,0.04993109900596124,0.0,0.0,0.0,0.07640851981999032,0.0,0.07360387832246615,0.0891512409810275,0.0,0.09187425438953993
